Text,True Label,Predicted Label
submit complaint bank continue deny aplication time check year shut single chase   credit card inquiry try open chase   card receive denial reason previous unsatisfactory relationship bank understand concern credit file thin new today diferent credit score default loan payment demonstrate credit risk check acount open acount convenience branch home ask reconsider time pase base action know problem submit request cfpb efective way reach ofice thank,2,1
cause credit damage tele payment modify loan try catchup report payment late,3,0
cale tel comite check fraud threaten jail chase sue loan tok colection pay jail bond able speak family sound profesional police oficer visit home beter form identification nonsense dolar cale brother dad cale cale chase solve speak lawyer resolve isue firm,0,3
type colection case number filing date case status close inactive court location civil case close kep money eecution isue,0,2
posesion tigr bond isue atache outline wekslong efort receive answer redem bond table paste apologize cusip number maturity date face reach    relation telephone inform paye dtc hear email bondholder relation hear    list paye maturity date bond service inform serve contact chase corporate   cale chase suport atempt conect research dept unable provide phone number email adre conect   mail leter reference chase adre certify mail track confirm delivery reach chase social medium atempte find contact research dept unable provide aditional contact information atempte tel apropriate contact bond confirm email   corect party   reach chase bank   reach    email adre chase   receive voicemail chase eecutive ofice return voicemail   leave voicemail chase eecutive ofice   hear chase eecutive ofice refer information bond responsibility short learn bank payer bond claim record responsible check state mise property database come acro escheatment perspective,2,3
chase card service acount number cale chase bank receive credit report mail acount chase card open pay recognize charge acount open cale chase report hold credit company place fraud alert file police report online identity theft report federal trade comision email social security service reg identity use cale chase bank service email ad mail remain document cale rude person phone talk want sem help able email send require info useful loan service acount number cale receive credit report acount open familiar acount busine   recvd dispute form file send identity theft police report federal identity theft report dispute form credit company,0,1
ne legal form constitional law busine coperate complaint businese pay send asap fes company credit card await money release com,4,1
  indicate credit report derogatory item close lease charge bad debt profit lease loan major impact credit rating send email date acepte lease payment   history lease payment indicate isue payment afect credit status derogatory indication notify   leasing notify isue cause bad debt derogatory indicate afect etend covid atempt purchase vehicle impact credit day remedy ofere,3,0
concern chase mortgage customer curent customer bank saving acount credit card   cale mortgage payment speak lady phone ask acount information order proce tok info procese request mortgage lender pule credit suplement prove mortgage payment pay procese find reject payment tok incorect acount number information cale multiple time reach leave voice mail multiple solicitation car insurance company pick cal wasn aware number find fund acount cale figure eplain situation payment report day credit kile refinance atempte payment time writen corespondence isue receive voice mail payment isue aset acount mention cal record pule cal want hear cal know lady information request claim check number acount number lady ask entire number help covid pandemic hold refinance help situation help remove credit thank,0,3
chase ink credit card smal busine open fel monthly payment chase suspend acount increase interest authorized person busine credit card acount reach oral setlement agrement chase outline leter send chase ofice confirm outline setlement agrement ofice timely payment setlement agrement chase update acount status pay history agre setle acount status curent pay history month    enter setlement agrement base understanding chase perform corection credit reporting acount afect busine personal credit oportunitie atempte corect isue chase suce anticipation aplye home mortgage pre qualification reach chase request corect incorect derogatory credit reporting isue chase respond update payment status day breach setlement agrement lower credit score update pay history reflect negative month   opose closed curent payment acount setlement agrement performance reach chase phone indication aplication substantial busine line credit preliminary deny base incorect credit reporting acount corecte chase dispute incorect information online dispute proce phone send certify leter suporte documentation concern reporting incorect violation prior setlement agrement request acount note chase inform acount note enforceable legal proce seke acount note chase confirm enter setlement agrement perform obligation agrement persist report acount pay agre leter confirm setlement agrement state acount close continue persist report acount pay agre atempte method resolve eroneous credit reporting litigation efort resolve mater litigate chase failure perform obligation setlement agrement,1,0
mortgage loan   receive leter tet mesage chase advise mortgage loan transfer receive welcome leter know send mortgage payment concern know past loan transfer day grace period situate automatic mortgage payment   chase bank acount fluster aware money bank acount authorize money acount receive welcome leter day rate mortgage chase acount let chase provide information include bank information loan chase set auto draft come acount month   apeare automatic withdrawal acount cale chase customer service hold hour ask representative payment advise apeare payment authorize set tell hear company ask mortgage know ask phone number asociate transaction wasn helpful hang drive chase branch speak manager nede apointment banker wait car loke acount bring form fil dispute transaction ask mortgage tell tok money acount authorization know phone number asociate transaction branch manager cale hear ofice advise tel nede close bank acount open new change pasword asume ofice able se tok advice apointment branch acount close open new meet banker change email adre pasword open new acount   receive disturbing leter chase advise close acount perpleed think refer acount close acount number new acount open cale number leter representative acount close   ask chase reason state open acount agre sign form chase close acount time banker prety singe document behalf covid decision turn nede money acount proce acount close puzle leter conversation idea hapene treat way decide set payment bil come check acount institution chase son close website set mortgage payment institution gue payment authorize   mortgage payment tok mortgage payment diferent diferent   unbeknownst thought victim fraud lot acount close reopen new aditionaly prepare money acount strese mention chase elect close acount year misunderstanding chase provide company information tok money acount use diferent withdrawal tok diferent payment unknown transaction apeare acount cale visit chase branch ask mortgage number cal find transaction tell cale tell company ask diferent agre aditional principal payment tell speak company speak   payment     set withdrawal ask authorize change date    answer question time folk stre level high treat institution fault,2,3
credit card customer create fraudulent chargeback busine chase bank decision final human company discus mater multiple phone cal chase result statement help chase refuse respond leter   customer use chase isue visa end place order website digital download product customer download product customer click download link email confirmation customer contact busine credit card merchant question order download product customer create chargeback reason product receive fact product receive customer receive location download item order multiple time dispute chargeback eplain customer reason receive product nonsense customer didn download product apt comparison imagine scenario customer physical store decide grocery purchase register purchase walk product imagine customer create chargeback diferent hapene grocery car complete analogy customer decide leave product register file chargeback claim busine chase ignore dispute eplanation customer busine wrong customer complaint receive product incorect isue customer refuse comunicate busine question regard order atempt download product create chargeback claim merchant chase charge unwaranted comunicate customer notice respond physical leter mail adre agre unwaranted wish reach file chargeback contact chase reverse chargeback agre money chase bank transaction bank acount money legal standard right money bank credit card customer click download link injustice chase refuse ofer way contact human isue want money,2,1
cale chase eecutive time today hot credit charge false triple,2,1
