Text,True Label,Predicted Label,Real Category,Subcategory,Original Raw Text
submit complaint bank continue deny aplication time check year shut single chase   credit card inquiry try open chase   card receive denial reason previous unsatisfactory relationship bank understand concern credit file thin new today diferent credit score default loan payment demonstrate credit risk check acount open acount convenience branch home ask reconsider time pase base action know problem submit request cfpb efective way reach ofice thank,2,1,Bank Account or Service,Checking or savings account,"I am submitting this complaint because this bank is continuing to deny my applications, this time one for a checking account, three years after shutting down a single Chase XXXX credit card because of too many inquiries. Since this, I also tried to open a Chase XXXX card and received the denial reason of "" Previous unsatisfactory relationship with bank ''. I understand their concerns then since my credit file was a little thin and new but clearly today is different with a > XXXX credit score. I have never defaulted on a loan or even ever been late with a payment and have thus clearly demonstrated being a good credit risk, at least for a checking account. I opened this account because of the convenience of a branch to my home. I am kindly asking for this to be reconsidered due to the time that has passed and also it being based on actions I didn't even know were a problem. I am submitting this request through the CFPB because it is the only effective way to reach the Office of the President. Thank you."
concern unable aply bank acount typeof financial service credit score low dude acount unknown use fel acounte report help,0,1,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports",To whom it may concern i am unable to apply for bank accounts are any typeof financial service to to my credit score being lower dude to accounts unknown are not to my use i feel like its unfairly accounted and i did not do anything on my report i need help
sem want create chase acount online website reason know apeare credit report live awful building por security think watch mail bo notify landlord change lock mailbo hapen past break mail try building hard inquiry bring credit score open credit card increase credit leave place,0,1,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports",It 's seems like someone wanted to create a chase account in my name through their online website. The reason I know of this is because it appeared on my credit report. I currently live in an awful building with very poor security and I think someone has been watching my mail box. I already notified my landlord to change the locks on my mailbox. This has happen in the past where they have broken into the mail. I 'm try to move out this building but because of this hard inquiry it brought my credit score down. I open two credit card recently but that was only with XXXX XXXX XXXX and XXXX XXXX but that was to increase my credit so I could leave this place.
type colection case number filing date case status close inactive court location civil case close kep money eecution isue,0,1,Credit Reporting and Debt Collection,Debt collection,"XXXX ( XXXX XXXX country ) XXXX XXXX XXXX vs XXXX XXXX XXXX Type : Other Collections XXXX ( XXXX ) - under XXXX Case Number : XXXX Filing Date : XX/XX/XXXX Case Status : Closed/Inactive Court Location : Civil This case was closed on XX/XX/XXXX. 
but XXXX keep say, I own them money XX/XX/XXXX Writ : Execution ( Issued ) XXXX XXXX XXXX, against XXXX XXXX, XXXX XXXX, {$9100.00}"
victim identity theft steal information pretend open fraudulent acount charge reach company prof provide open fraudulent acount,0,2,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports","I AM VICTIM OF AN IDENTITY THEFT, SOMEONE STOLE MY INFORMATION AND THEY PRETENDED TO BE ME AND THEY OPENED FRAUDULENT ACCOUNTS AND CHARGES. I HAVE REACHED OUT TO BOTH COMPANIES AND THEY HAVE NO PROOF TO PROVIDE TO ME WHO HAS OPENED THE FRAUDULENT ACCOUNTS."
isue busine credit card acount personal credit report late payment damage year personal credit troubling busine aplye new credit sba loan jump start operation covid pandemic time detail chase ink busine credit acount number credit busine busine credit open acount close   financial trouble busine high interest rate credit closed pay balance flat pay agred payment pay agre busine covid pandemic busine hot water pandemic mise couple payment help receive chase busine deferment oficer state income generation suport bil payment financial suport   treatment law relocation setle time mise comunication corespondence busine acount payment bank comunicate paper consumer credit reporting busine credit acount personal credit report time busine acount busine acount atache pop credit report late payment negative acount payment pay corespondence dispute credit reporting agency busine credit acount busine impact covid pandemic send mail card speak card service member credit request consider remove late payment consumer personal credit report asociate pay deaf ear help routing cal apeare biased equal ignore slang sory apear payment history year personal late payment bankruptcy conviction year busine late payment   day busine acount atached personal credit reporting chase credit reporting agency tok point status credit reporting agency reluctant consider corect update busine comerical adre single family residential type,0,1,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports","ISSUE : Business Credit Card Accounts, showing on my personal credit report ( never before ) as Late Payment and damaging my good 20+ years of personal credit, taking me down and troubling even Business from applying new credits /SBA Loans to jump start the operations during this COVID PANDEMIC time. 

Here are the details -- -- Chase Ink Business Credit Account Numbers : XXXX XXXX XXXX XXXX & XXXX XXXX XXXX XXXX Credit on Business Name :XX/XX/XXXX XX/XX/XXXXBusiness Credits opened : XXXX Accounts Closed : XX/XX/XXXX due to financial troubles with Business and high interest rates on credit and so closed to pay off the balance with a monthly flat pay as agreed Payment : Paying as agreed by business. 
COVID PANDEMIC : Business was in hot water during this pandemic, missed couple of payments under $ XXXX in XXXX & XX/XX/XXXX. No help received from Chase for Business for any deferment and Officer ( I ) moved to another state ( XX/XX/XXXX ) for income generation and to support bills / payments and other financial support for XXXX treatments ( in-laws ). During this relocation and settle down time, missed communication/ correspondence from Bank on Business Accounts & Due Payments and Bank never communicated any paper bill. 
Consumer Credit Reporting : Never saw before the business credit accounts on my personal credit reports during the time XXXX for my business accounts. In XX/XX/XXXX only, those business accounts got attached to / popped up on my credit reports as Late Payments and negative accounts. 
Payment : No dues to pay and done till XX/XX/XXXX Correspondence : Disputed with Credit Reporting Agencies (XX/XX/XXXX & XX/XX/XXXXas these are Business Credit Accounts and Business is impacted by COVID PANDEMIC ..Sent mail to JPMCB CARD, Spoken to Card Services Members & Credit Dept XXXX XXXX requesting to consider, remove late payment and from consumer/ my personal credit reports, but unfortunately the associates PAID DEAF EAR, NO HELP, RE-ROUTING CALLS HERE AND THERE, which appeared to me biased, in equal, and simply ignore ... due to my slang (? ) sorry to say but that appears as if! 

PAYMENT history is good for 20+ years ( my personal ) with no late payments/ no bankruptcy / no convictions and good for 12+ years ( my business ) except 2 late payments in XXXX  XXXX ( 60 days XXXX This business accounts attached to my personal credit reporting and chase & credit reporting agencies took me down by 80points from very good status. 
- EVEN CREDIT REPORTING AGENCIES ( XX/XX/XXXX & XX/XX/XXXX ARE RELUCTANT TO CONSIDER / CORRECT AND UPDATE, EVEN SHOWING THE BUSINESS /COMMERICAL ADDRESS AS SINGLE FAMILY RESIDENTIAL TYPE"
ne legal form constitional law busine coperate complaint businese pay send asap fes company credit card await money release com,4,1,Money Transfers and Financial Services,Money transfers,We need Legal Forms For Constitional Laws Business and Cooperates complaints on businesses must be made. We have the $ amount that we are paying. Send asap the fees to this company. I have credit card and am awaiting For the money to be released from www.chase.com
earth fa mail copy sn card driver license number card utility bil stil verify let obtain anual credit report,0,1,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports",These ppl are XXXX of the earth I faxed over mailed copies of my SSN card driver license number card and utility bill iny name they still can't verify me let alone obtain annual credit report
concern chase mortgage customer curent customer bank saving acount credit card   cale mortgage payment speak lady phone ask acount information order proce tok info procese request mortgage lender pule credit suplement prove mortgage payment pay procese find reject payment tok incorect acount number information cale multiple time reach leave voice mail multiple solicitation car insurance company pick cal wasn aware number find fund acount cale figure eplain situation payment report day credit kile refinance atempte payment time writen corespondence isue receive voice mail payment isue aset acount mention cal record pule cal want hear cal know lady information request claim check number acount number lady ask entire number help covid pandemic hold refinance help situation help remove credit thank,0,3,Credit Reporting and Debt Collection,"Credit reporting, credit repair services, or other personal consumer reports","To whom it may concern : I am a chase mortgage customer and current customer with the bank for my savings account and credit cards. On XX/XX/XXXX I called in to make my mortgage payment and spoke with a lady on the phone that asked for all my account information in order to process. She took the info and processed the request. My mortgage lender then pulled a credit supplement and that proved that my mortgage payment was paid on XX/XX/XXXX and we moved on in processing. Later it was found out that they had rejected my payment as they said they took the incorrect account number information. They said they called multiple times to reach me, but they never had left a voice mail and I have been getting multiple solicitations from car insurance companies so I was not picking up any calls that I wasn't aware of the numbers. When I found out that the funds were never taken out of my account I called in to figure out what was going on. They explained the situation and I made the payment again. Now they are reporting a 30 day late on my credit and this has killed my refinance. I attempted to make the payment on time. I got no written correspondence of the issue. I received no voice mail of the payment issue. My asset accounts are all with Chase currently. They mentioned that the call was recorded and they pulled the call, but I want to hear the call as well as I know I just gave the lady the information that she requested. They are claiming that the last 3 check numbers were on the account number, but the lady had asked for the entire number. please help as if the covid pandemic wasnt enough now I am being held up on a refinance that can definitely help my situation. Please help in removing this late on my credit, thank you!"
chase ink credit card smal busine open fel monthly payment chase suspend acount increase interest authorized person busine credit card acount reach oral setlement agrement chase outline leter send chase ofice confirm outline setlement agrement ofice timely payment setlement agrement chase update acount status pay history agre setle acount status curent pay history month    enter setlement agrement base understanding chase perform corection credit reporting acount afect busine personal credit oportunitie atempte corect isue chase suce anticipation aplye home mortgage pre qualification reach chase request corect incorect derogatory credit reporting isue chase respond update payment status day breach setlement agrement lower credit score update pay history reflect negative month   opose closed curent payment acount setlement agrement performance reach chase phone indication aplication substantial busine line credit preliminary deny base incorect credit reporting acount corecte chase dispute incorect information online dispute proce phone send certify leter suporte documentation concern reporting incorect violation prior setlement agrement request acount note chase inform acount note enforceable legal proce seke acount note chase confirm enter setlement agrement perform obligation agrement persist report acount pay agre leter confirm setlement agrement state acount close continue persist report acount pay agre atempte method resolve eroneous credit reporting litigation efort resolve mater litigate chase failure perform obligation setlement agrement,1,0,Credit Cards and Prepaid Cards,Credit card or prepaid card,"Chase Ink credit card for my small business that was opened in XX/XX/XXXX. Account fell behind on a monthly payment and Chase unilaterally suspended account and increased interest. As the authorized person on the business credit card account I reached an oral settlement agreement with Chase on XX/XX/XXXX, outlined in part in a letter sent from Chase to my office confirming outline of settlement agreement to my office. I made timely payments per the settlement agreement ; however, Chase did not update the account status and pay history as agreed to "" settled '' for account status and current for pay histories for months of XX/XX/XXXX through XX/XX/XXXX. I only entered into the settlement agreement based on the understanding that Chase would perform these corrections for the credit reporting on the account so it would not negatively affect my business or personal credit opportunities going forward.

I attempted to correct these issues with Chase twice in XXXX and XX/XX/XXXX with no success. In anticipation of applying for home mortgage pre-qualification in XX/XX/XXXX, I again reached out to Chase requesting that it correct these incorrect derogatory credit reporting issues. Chase responded by updating the payment status to 90 days late, in breach of our settlement agreement and adversely lowering my credit score, and by updating the pay history to reflect Negative for the month of XX/XX/XXXX, as opposed to closed and current on payments as the account was per the settlement agreement and my performance of the same. 

I again reached out to Chase in XX/XX/XXXX by phone after an indication an application for a substantial business line of credit was preliminary denied specifically based on the incorrect credit reporting for this account that has still not been corrected by Chase. I I disputed the incorrect information through an online dispute process with XXXX, by phone, and have sent a certified letter and supporting documentation concerning why the reporting is incorrect and in violation of our prior settlement agreement. I have also requested account notes from Chase and have been informed I will not be given the account notes without enforceable legal process seeking such account notes.

Chase has confirmed we entered into a settlement agreement on XX/XX/XXXX, and I performed all my obligations per the agreement ; however, it persists that it can not report the account as paid as agreed from XX/XX/XXXX through XX/XX/XXXX and that even though its letter confirming the settlement agreement stated the account was closed in XXXX they continue to persist they can not report my account as paid as agreed for XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX. 

I have attempted every method to amicably resolve this erroneous credit reporting short of litigation and this is my last effort to resolve this matter without litigating Chase 's failure to perform its obligations per our settlement agreement."
